Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
2/22/2022,480.55,486.3,471.45,494.45,478.5,478.25,479.41,536.7,268.45,27957544,13403106998.80
2/23/2022,481.75,485.4,475.3,478.25,477,477,480.31,536.7,268.45,17703998,8503350999.45
2/24/2022,455.95,461.55,405.45,477,425.9,427.95,443.91,536.7,268.45,57265685,25420800452.15
2/25/2022,444.85,465.7,441.6,427.95,460.85,459.75,459.06,536.7,268.45,48876182,22436877368.65
2/28/2022,445,457.35,440.45,459.75,453.95,454.05,452.4,536.7,268.45,34475468,15596569802.85
3/2/2022,452.95,454.25,444.55,454.05,448.8,447.6,449.27,536.7,268.45,25791134,11587137992.70
3/3/2022,458.5,458.5,435,447.6,437.9,437.1,443.17,536.7,268.45,29599672,13117748918.25
3/4/2022,431.85,431.85,414.75,437.1,418.4,417.25,423.93,536.7,268.45,38765185,16433838263.50
3/7/2022,401.75,401.75,387.5,417.25,395.75,394,394.41,536.7,268.45,44836205,17684025650.05
3/8/2022,390.5,395.45,376.35,394,391.3,391.75,387.74,536.7,268.45,55543383,21536399963.85
3/9/2022,394.95,409.25,389.5,391.75,407,405.9,399.37,536.7,268.45,48376222,19319881236.40
3/10/2022,427,434.95,414,405.9,418.55,419.6,426.4,536.7,268.45,59776817,25488638259.30
3/11/2022,413.6,421.15,407.4,419.6,418.05,418.15,413.88,536.7,268.45,51510243,21319031617.75
3/14/2022,418.75,419,404,418.15,412.5,411.7,409.95,536.7,268.45,40721277,16693522069.20
3/15/2022,409.85,424.2,408,411.7,412,413.65,416.5,536.7,268.45,47706136,19869444601.00
3/16/2022,427.05,428.55,420.7,413.65,424,424.9,424.01,536.7,268.45,27191170,11529232372.80
3/17/2022,432,435.7,429.55,424.9,434.3,433.8,433.11,536.7,268.45,26704541,11566099532.35
3/21/2022,435.5,436.3,427.1,433.8,427.7,427.95,430.44,536.7,268.45,18270995,7864657857.30
3/22/2022,428.1,441.45,421.2,427.95,440.85,440.35,432.31,536.7,268.45,30441493,13160088510.65
3/23/2022,443.5,447,434.6,440.35,435.3,435.8,439.74,536.7,268.45,25466395,11198691330.75
3/24/2022,430,435.4,427.55,435.8,433.15,433.2,432.4,536.7,268.45,17109723,7398321010.90
3/25/2022,437,437,427.65,433.2,432.4,432.1,432.99,536.7,268.45,15104414,6540056866.80
3/28/2022,432,434.95,426.5,432.1,432.6,432.7,431.2,536.7,268.45,16757901,7226072136.90
3/29/2022,436,439.35,431.4,432.7,433.7,433.7,435.02,536.7,268.45,18710736,8139614044.15
3/30/2022,438.45,442.5,434.25,433.7,434.8,435.65,439.04,536.7,268.45,18149488,7968354742.20
3/31/2022,436,438.3,432.6,435.65,434,433.75,435.36,536.7,268.45,14248045,6203012891.10
4/1/2022,434,442.25,430.85,433.75,440.9,441.15,437.6,536.7,268.45,19380324,8480861087.20
4/4/2022,444.4,449.5,441.3,441.15,446.8,446.75,446.28,536.7,268.45,18657201,8326362214.90
4/5/2022,450,461.9,448.3,446.75,457.3,458.05,457.79,536.7,268.45,28530470,13061024582.30
4/6/2022,455.9,462.7,452.6,458.05,456.5,456.15,458.18,536.7,268.45,24974477,11442798762.60
4/7/2022,456.5,459.1,448.5,456.15,450.25,449.5,454.17,536.7,268.45,19950241,9060742246.45
4/8/2022,450,456.25,449.7,449.5,452.25,452.05,452.71,536.7,268.45,16315704,7386342103.90
4/11/2022,457,458.9,451,452.05,453,452.05,454.67,536.7,268.45,14339854,6519898847.45
4/12/2022,450.8,450.8,435,452.05,438,438.3,439.2,536.7,268.45,22698696,9969175033.40
4/13/2022,441.8,442.85,430.1,438.3,431.5,431.05,434.93,536.7,268.45,16817981,7314656264.55
4/18/2022,430,436.35,423.65,431.05,433.8,433.8,429.12,536.7,268.45,15298361,6564888217.30
4/19/2022,436.75,440.25,417,433.8,420.95,424.95,433.28,536.7,268.45,12669041,5489270421.05
4/20/2022,431,441.7,428.25,424.95,440.9,440.55,436.45,536.7,268.45,19639290,8571624927.70
4/21/2022,444.5,449.35,441.05,440.55,447.4,448.05,445.15,536.7,268.45,14124872,6287654009.90
4/22/2022,442.05,447.25,438,448.05,438.8,438.85,442.67,536.7,268.45,14362036,6357616773.40
4/25/2022,432.75,436,423.15,438.85,427.3,425.15,428.81,536.7,268.45,14729009,6315912520.35
4/26/2022,433.9,437.45,431.6,425.15,435.05,434.9,434.74,536.7,268.45,13577513,5902711226.50
4/27/2022,429.25,432.95,425.1,434.9,430.1,430.25,428.93,536.7,268.45,13701069,5876774261.10
4/28/2022,434.8,439.2,430.8,430.25,435.6,436.05,434.39,536.7,268.45,13875650,6027501093.50
4/29/2022,440.2,447.75,436,436.05,436.95,437.6,442.23,536.7,268.45,21991752,9725509784.35
5/2/2022,437.95,442.95,428.5,437.6,432.85,432.85,433.17,536.7,268.45,18945234,8206471934.60
5/4/2022,437.95,440.6,420.7,432.85,424.6,423.5,430.75,536.7,268.45,14934742,6433136118.75
5/5/2022,429,434,423.7,423.5,425.75,426.3,429.48,536.7,268.45,12240729,5257095513.95
5/6/2022,418.85,420.2,407,426.3,409.85,408.55,410.67,536.7,268.45,25142225,10325101551.60
5/9/2022,407.15,407.4,395,408.55,405.7,403.95,401.34,536.7,268.45,18076956,7255042575.05
5/10/2022,400,408.5,389.6,403.95,390.95,391.75,399.69,536.7,268.45,16540303,6611041873.15
5/11/2022,396,397,377.55,391.75,390.3,388.15,386.07,536.7,268.45,29215175,11279156582.90
5/12/2022,382,384.65,366.2,388.15,371.9,372.3,373.27,536.7,268.45,33511538,12508784026.55
5/13/2022,387,419.35,387,372.3,404,404.3,404.94,536.7,268.45,71425747,28923209354.30
5/16/2022,411.9,411.9,396.25,404.3,406.9,405.35,403.53,536.7,268.45,24938704,10063596931.85
5/17/2022,408.4,425.65,405,405.35,424,424.15,416.7,536.7,268.45,24651585,10272427644.30
5/18/2022,424,427.35,414.05,424.15,416.3,415.15,420.04,536.7,268.45,20490516,8606927253.75
5/19/2022,400,406.8,396.2,415.15,399.45,398.65,401.61,536.7,268.45,17706724,7111217516.20
5/20/2022,410,421.4,410,398.65,418,418,417.51,536.7,268.45,23504236,9813166936.75
5/23/2022,421.65,431.15,419.55,418,420.8,421.45,424.64,536.7,268.45,16345308,6940863462.90
