Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
5/21/2021,312,315.7,309.5,307.7,312.4,313.1,312.81,357,79.6,40358753,"12,624,718,438.75"
5/20/2021,316,316.6,306.1,314.45,308,307.7,310.47,357,79.6,54043899,"16,778,950,024.40"
5/19/2021,313,322.95,312.1,332.45,314.1,314.45,316.24,357,79.6,119407026,"37,761,459,386.20"
5/18/2021,325.95,336.65,324,321.1,332,332.45,331.11,357,79.6,86153088,"28,526,171,912.65"
5/17/2021,315.4,323.85,311.4,312.25,321.75,321.1,317.96,357,79.6,51162423,"16,267,582,786.40"
5/14/2021,329.35,329.5,310,326,312.6,312.25,318.19,357,79.6,81305325,"25,870,430,404.85"
5/12/2021,318.25,334.75,316.25,315.55,325.55,326,326.37,357,79.6,111584920,"36,417,910,308.95"
5/11/2021,309.55,320.75,308.1,314.85,314.45,315.55,316.17,357,79.6,58472304,"18,487,036,052.35"
5/10/2021,304.5,315.7,304,302.75,314.35,314.85,310.52,357,79.6,53260388,"16,538,427,981.10"
5/7/2021,303,305.95,300.5,301.25,301.45,302.75,303.34,357,79.6,41591323,"12,616,475,889.85"
5/6/2021,291.5,302,290.3,291.5,301.05,301.25,297.01,357,79.6,45032502,"13,375,217,303.80"
5/5/2021,293.5,293.9,288.5,289.45,292.25,291.5,291.05,357,79.6,29350536,"8,542,557,907.75"
5/4/2021,296.35,299.75,288.05,293,289.95,289.45,293.92,357,79.6,38640006,"11,356,882,614.15"
5/3/2021,289.3,294.75,285,293.85,293.1,293,290.96,357,79.6,35376618,"10,293,317,764.30"
4/30/2021,298.2,301.3,292.55,301.9,293.1,293.85,297.01,357,74.8,36121668,"10,728,487,262.65"
4/29/2021,308.9,310,301.25,305.9,302.2,301.9,304.77,357,74.8,36647292,"11,168,997,900.30"
4/28/2021,303.5,309.5,303,301.5,305.15,305.9,307.22,357,74.8,44668126,"13,722,777,839.30"
4/27/2021,295.7,302.5,295.1,295.4,302.1,301.5,299.05,357,74.8,35040532,"10,478,793,142.15"
4/26/2021,297,299,294.6,294,295.85,295.4,296.48,357,74.8,30583139,"9,067,386,454.95"
4/23/2021,291,300,290.5,294.55,293.2,294,295.04,357,72.55,58158986,"17,159,078,149.65"
4/22/2021,294,302.5,292.2,298.05,294.5,294.55,296.94,357,72.55,61022978,"18,120,454,264.15"
4/20/2021,307.7,308.15,294.2,301.4,297.4,298.05,301.99,357,72.55,56740291,"17,134,933,991.60"
4/19/2021,295,304.5,292.8,310,301.7,301.4,299.92,357,72.55,65791784,"19,732,092,260.55"
